src,relation,Target,is_b,id(is_b)
188903230065,VIU,SFLL188965,IS_BUILDING,128674
188903220065,VIU,SFLL188965,IS_BUILDING,128674
188903210065,VIU,SFLL188965,IS_BUILDING,128674
188903200065,VIU,SFLL188965,IS_BUILDING,128674
188903190065,VIU,SFLL188965,IS_BUILDING,128674
188903290066,VIU,SFLL188966,IS_BUILDING,129043
188903280066,VIU,SFLL188966,IS_BUILDING,129043
188903270066,VIU,SFLL188966,IS_BUILDING,129043
188903260066,VIU,SFLL188966,IS_BUILDING,129043
188903250066,VIU,SFLL188966,IS_BUILDING,129043
188903240066,VIU,SFLL188966,IS_BUILDING,129043
188903310067,VIU,SFLL188967,IS_BUILDING,129264
188903300067,VIU,SFLL188967,IS_BUILDING,129264
188903330068,VIU,SFLL188968,IS_BUILDING,128677
188903320068,VIU,SFLL188968,IS_BUILDING,128677
188903370069,VIU,SFLL188969,IS_BUILDING,128678
188903360069,VIU,SFLL188969,IS_BUILDING,128678
188903350069,VIU,SFLL188969,IS_BUILDING,128678
188903340069,VIU,SFLL188969,IS_BUILDING,128678
188903390070,VIU,SFLL188970,IS_BUILDING,129045
188903380070,VIU,SFLL188970,IS_BUILDING,129045
188903410071,VIU,SFLL188971,IS_BUILDING,128681
188903400071,VIU,SFLL188971,IS_BUILDING,128681
188903470072,VIU,SFLL188972,IS_BUILDING,129265
188903460072,VIU,SFLL188972,IS_BUILDING,129265
188903450072,VIU,SFLL188972,IS_BUILDING,129265
188903440072,VIU,SFLL188972,IS_BUILDING,129265
188903430072,VIU,SFLL188972,IS_BUILDING,129265
188903420072,VIU,SFLL188972,IS_BUILDING,129265
188903530073,VIU,SFLL188973,IS_BUILDING,128685
188903520073,VIU,SFLL188973,IS_BUILDING,128685
188903510073,VIU,SFLL188973,IS_BUILDING,128685
188903500073,VIU,SFLL188973,IS_BUILDING,128685
188903490073,VIU,SFLL188973,IS_BUILDING,128685
188903480073,VIU,SFLL188973,IS_BUILDING,128685
188903580074,VIU,SFLL188974,IS_BUILDING,129046
188903570074,VIU,SFLL188974,IS_BUILDING,129046
188903560074,VIU,SFLL188974,IS_BUILDING,129046
188903550074,VIU,SFLL188974,IS_BUILDING,129046
188903540074,VIU,SFLL188974,IS_BUILDING,129046
188903600075,VIU,SFLL188975,IS_BUILDING,128688
188903590075,VIU,SFLL188975,IS_BUILDING,128688
188903690076,VIU,SFLL188976,IS_BUILDING,128691
188903680076,VIU,SFLL188976,IS_BUILDING,128691
188903670076,VIU,SFLL188976,IS_BUILDING,128691
188903660076,VIU,SFLL188976,IS_BUILDING,128691
188903650076,VIU,SFLL188976,IS_BUILDING,128691
188903640076,VIU,SFLL188976,IS_BUILDING,128691
188903630076,VIU,SFLL188976,IS_BUILDING,128691
188903620076,VIU,SFLL188976,IS_BUILDING,128691
188903610076,VIU,SFLL188976,IS_BUILDING,128691
188903750077,VIU,SFLL188977,IS_BUILDING,128693
188903740077,VIU,SFLL188977,IS_BUILDING,128693
188903730077,VIU,SFLL188977,IS_BUILDING,128693
188903720077,VIU,SFLL188977,IS_BUILDING,128693
188903710077,VIU,SFLL188977,IS_BUILDING,128693
188903700077,VIU,SFLL188977,IS_BUILDING,128693
188903790078,VIU,SFLL188978,IS_BUILDING,128697
188903780078,VIU,SFLL188978,IS_BUILDING,128697
188903770078,VIU,SFLL188978,IS_BUILDING,128697
188903760078,VIU,SFLL188978,IS_BUILDING,128697
188903830079,VIU,SFLL188979,IS_BUILDING,128699
188903820079,VIU,SFLL188979,IS_BUILDING,128699
188903810079,VIU,SFLL188979,IS_BUILDING,128699
188903800079,VIU,SFLL188979,IS_BUILDING,128699
188903880080,VIU,SFLL188980,IS_BUILDING,128705
188903870080,VIU,SFLL188980,IS_BUILDING,128705
188903860080,VIU,SFLL188980,IS_BUILDING,128705
188903850080,VIU,SFLL188980,IS_BUILDING,128705
188903840080,VIU,SFLL188980,IS_BUILDING,128705
188903950081,VIU,SFLL188981,IS_BUILDING,128708
188903940081,VIU,SFLL188981,IS_BUILDING,128708
188903930081,VIU,SFLL188981,IS_BUILDING,128708
188903920081,VIU,SFLL188981,IS_BUILDING,128708
188903910081,VIU,SFLL188981,IS_BUILDING,128708
188903900081,VIU,SFLL188981,IS_BUILDING,128708
188903890081,VIU,SFLL188981,IS_BUILDING,128708
188903990082,VIU,SFLL188982,IS_BUILDING,128709
188903980082,VIU,SFLL188982,IS_BUILDING,128709
188903970082,VIU,SFLL188982,IS_BUILDING,128709
188903960082,VIU,SFLL188982,IS_BUILDING,128709
188904060083,VIU,SFLL188983,IS_BUILDING,129266
188904050083,VIU,SFLL188983,IS_BUILDING,129266
188904040083,VIU,SFLL188983,IS_BUILDING,129266
188904030083,VIU,SFLL188983,IS_BUILDING,129266
188904020083,VIU,SFLL188983,IS_BUILDING,129266
188904010083,VIU,SFLL188983,IS_BUILDING,129266
188904000083,VIU,SFLL188983,IS_BUILDING,129266
188904080084,VIU,SFLL188984,IS_BUILDING,128711
188904070084,VIU,SFLL188984,IS_BUILDING,128711
188904140085,VIU,SFLL188985,IS_BUILDING,128713
188904130085,VIU,SFLL188985,IS_BUILDING,128713
188904120085,VIU,SFLL188985,IS_BUILDING,128713
188904110085,VIU,SFLL188985,IS_BUILDING,128713
188904100085,VIU,SFLL188985,IS_BUILDING,128713
188904090085,VIU,SFLL188985,IS_BUILDING,128713
188904160086,VIU,SFLL188986,IS_BUILDING,128715
188904150086,VIU,SFLL188986,IS_BUILDING,128715
188904210087,VIU,SFLL188987,IS_BUILDING,128717
188904200087,VIU,SFLL188987,IS_BUILDING,128717
188904190087,VIU,SFLL188987,IS_BUILDING,128717
188904180087,VIU,SFLL188987,IS_BUILDING,128717
188904170087,VIU,SFLL188987,IS_BUILDING,128717
188904270088,VIU,SFLL188988,IS_BUILDING,129267
188904260088,VIU,SFLL188988,IS_BUILDING,129267
188904250088,VIU,SFLL188988,IS_BUILDING,129267
188904240088,VIU,SFLL188988,IS_BUILDING,129267
188904230088,VIU,SFLL188988,IS_BUILDING,129267
188904220088,VIU,SFLL188988,IS_BUILDING,129267
188904340089,VIU,SFLL188989,IS_BUILDING,128719
188904330089,VIU,SFLL188989,IS_BUILDING,128719
188904320089,VIU,SFLL188989,IS_BUILDING,128719
188904310089,VIU,SFLL188989,IS_BUILDING,128719
188904300089,VIU,SFLL188989,IS_BUILDING,128719
188904290089,VIU,SFLL188989,IS_BUILDING,128719
188904280089,VIU,SFLL188989,IS_BUILDING,128719
188904390090,VIU,SFLL188990,IS_BUILDING,128721
188904380090,VIU,SFLL188990,IS_BUILDING,128721
188904370090,VIU,SFLL188990,IS_BUILDING,128721
188904360090,VIU,SFLL188990,IS_BUILDING,128721
188904350090,VIU,SFLL188990,IS_BUILDING,128721
188904470091,VIU,SFLL188991,IS_BUILDING,128723
188904460091,VIU,SFLL188991,IS_BUILDING,128723
188904450091,VIU,SFLL188991,IS_BUILDING,128723
188904440091,VIU,SFLL188991,IS_BUILDING,128723
188904430091,VIU,SFLL188991,IS_BUILDING,128723
188904420091,VIU,SFLL188991,IS_BUILDING,128723
188904410091,VIU,SFLL188991,IS_BUILDING,128723
188904400091,VIU,SFLL188991,IS_BUILDING,128723
188904530092,VIU,SFLL188992,IS_BUILDING,128725
188904520092,VIU,SFLL188992,IS_BUILDING,128725
188904510092,VIU,SFLL188992,IS_BUILDING,128725
188904500092,VIU,SFLL188992,IS_BUILDING,128725
188904490092,VIU,SFLL188992,IS_BUILDING,128725
188904480092,VIU,SFLL188992,IS_BUILDING,128725
188904560093,VIU,SFLL188993,IS_BUILDING,129268
188904550093,VIU,SFLL188993,IS_BUILDING,129268
188904540093,VIU,SFLL188993,IS_BUILDING,129268
188904690094,VIU,SFLL188994,IS_BUILDING,129053
188904680094,VIU,SFLL188994,IS_BUILDING,129053
188904670094,VIU,SFLL188994,IS_BUILDING,129053
188904660094,VIU,SFLL188994,IS_BUILDING,129053
188904650094,VIU,SFLL188994,IS_BUILDING,129053
188904640094,VIU,SFLL188994,IS_BUILDING,129053
188904630094,VIU,SFLL188994,IS_BUILDING,129053
188904620094,VIU,SFLL188994,IS_BUILDING,129053
188904610094,VIU,SFLL188994,IS_BUILDING,129053
188904600094,VIU,SFLL188994,IS_BUILDING,129053
188904590094,VIU,SFLL188994,IS_BUILDING,129053
188904580094,VIU,SFLL188994,IS_BUILDING,129053
188904570094,VIU,SFLL188994,IS_BUILDING,129053
188904770095,VIU,SFLL188995,IS_BUILDING,128728
